# Units: time in UTC, radiation_surface in W/m²
"# {""units"": {""time"": ""UTC"""," ""radiation_surface"": ""W/m\u00b2""}"
time,radiation_surface
2019/01/01 00:00:00,0
2019/01/01 01:00:00,0
2019/01/01 02:00:00,0
2019/01/01 03:00:00,2.224
2019/01/01 04:00:00,99.753
2019/01/01 05:00:00,305.791
2019/01/01 06:00:00,508.099
2019/01/01 07:00:00,646.139
2019/01/01 08:00:00,714.972
2019/01/01 09:00:00,716.098
2019/01/01 10:00:00,560.854
2019/01/01 11:00:00,441.002
2019/01/01 12:00:00,297.581
2019/01/01 13:00:00,100.94
2019/01/01 14:00:00,2.996
2019/01/01 15:00:00,0
2019/01/01 16:00:00,0
2019/01/01 17:00:00,0
2019/01/01 18:00:00,0
2019/01/01 19:00:00,0
2019/01/01 20:00:00,0
2019/01/01 21:00:00,0
2019/01/01 22:00:00,0
2019/01/01 23:00:00,0
2019/01/02 00:00:00,0
2019/01/02 01:00:00,0
2019/01/02 02:00:00,0
2019/01/02 03:00:00,2.31
2019/01/02 04:00:00,90.063
2019/01/02 05:00:00,240.237
2019/01/02 06:00:00,416.265
2019/01/02 07:00:00,560.176
2019/01/02 08:00:00,678.208
2019/01/02 09:00:00,733.591
2019/01/02 10:00:00,667.239
2019/01/02 11:00:00,479.852
2019/01/02 12:00:00,248.365
2019/01/02 13:00:00,89.321
2019/01/02 14:00:00,5.385
2019/01/02 15:00:00,0
2019/01/02 16:00:00,0
2019/01/02 17:00:00,0
2019/01/02 18:00:00,0
2019/01/02 19:00:00,0
2019/01/02 20:00:00,0
2019/01/02 21:00:00,0
2019/01/02 22:00:00,0
2019/01/02 23:00:00,0
2019/01/03 00:00:00,0
2019/01/03 01:00:00,0
2019/01/03 02:00:00,0
2019/01/03 03:00:00,2.515
2019/01/03 04:00:00,113.837
2019/01/03 05:00:00,305.541
2019/01/03 06:00:00,513.21
2019/01/03 07:00:00,654.136
2019/01/03 08:00:00,730.373
2019/01/03 09:00:00,733.548
2019/01/03 10:00:00,665.501
2019/01/03 11:00:00,531.976
2019/01/03 12:00:00,341.135
2019/01/03 13:00:00,131.175
2019/01/03 14:00:00,5.239
2019/01/03 15:00:00,0
2019/01/03 16:00:00,0
2019/01/03 17:00:00,0
2019/01/03 18:00:00,0
2019/01/03 19:00:00,0
2019/01/03 20:00:00,0
2019/01/03 21:00:00,0
2019/01/03 22:00:00,0
2019/01/03 23:00:00,0
2019/01/04 00:00:00,0
2019/01/04 01:00:00,0
2019/01/04 02:00:00,0
2019/01/04 03:00:00,2.381
2019/01/04 04:00:00,108.416
2019/01/04 05:00:00,309.927
2019/01/04 06:00:00,497.648
2019/01/04 07:00:00,637.235
2019/01/04 08:00:00,713.816
2019/01/04 09:00:00,725.983
2019/01/04 10:00:00,658.727
2019/01/04 11:00:00,526.473
2019/01/04 12:00:00,341.119
2019/01/04 13:00:00,134.179
2019/01/04 14:00:00,5.843
2019/01/04 15:00:00,0
2019/01/04 16:00:00,0
2019/01/04 17:00:00,0
2019/01/04 18:00:00,0
2019/01/04 19:00:00,0
2019/01/04 20:00:00,0
2019/01/04 21:00:00,0
2019/01/04 22:00:00,0
2019/01/04 23:00:00,0
2019/01/05 00:00:00,0
2019/01/05 01:00:00,0
2019/01/05 02:00:00,0
2019/01/05 03:00:00,2.503
2019/01/05 04:00:00,110.62
2019/01/05 05:00:00,314.7
2019/01/05 06:00:00,504.361
2019/01/05 07:00:00,645.177
2019/01/05 08:00:00,721.494
2019/01/05 09:00:00,724.372
2019/01/05 10:00:00,655.091
2019/01/05 11:00:00,516.822
2019/01/05 12:00:00,326.571
2019/01/05 13:00:00,126.064
2019/01/05 14:00:00,5.896
2019/01/05 15:00:00,0
2019/01/05 16:00:00,0
2019/01/05 17:00:00,0
2019/01/05 18:00:00,0
2019/01/05 19:00:00,0
2019/01/05 20:00:00,0
2019/01/05 21:00:00,0
2019/01/05 22:00:00,0
2019/01/05 23:00:00,0
2019/01/06 00:00:00,0
2019/01/06 01:00:00,0
2019/01/06 02:00:00,0
2019/01/06 03:00:00,2.839
2019/01/06 04:00:00,111.417
2019/01/06 05:00:00,310.625
2019/01/06 06:00:00,495.068
2019/01/06 07:00:00,636.918
2019/01/06 08:00:00,708.903
2019/01/06 09:00:00,701.603
2019/01/06 10:00:00,627.019
2019/01/06 11:00:00,469.017
2019/01/06 12:00:00,297.274
2019/01/06 13:00:00,127.421
2019/01/06 14:00:00,6.006
2019/01/06 15:00:00,0
2019/01/06 16:00:00,0
2019/01/06 17:00:00,0
2019/01/06 18:00:00,0
2019/01/06 19:00:00,0
2019/01/06 20:00:00,0
2019/01/06 21:00:00,0
2019/01/06 22:00:00,0
2019/01/06 23:00:00,0
2019/01/07 00:00:00,0
2019/01/07 01:00:00,0
2019/01/07 02:00:00,0
2019/01/07 03:00:00,3.002
2019/01/07 04:00:00,121.257
2019/01/07 05:00:00,332.259
2019/01/07 06:00:00,516.586
2019/01/07 07:00:00,647.164
2019/01/07 08:00:00,722.054
2019/01/07 09:00:00,725.79
2019/01/07 10:00:00,655.606
2019/01/07 11:00:00,516.375
2019/01/07 12:00:00,319.46
2019/01/07 13:00:00,123.1
2019/01/07 14:00:00,6.673
2019/01/07 15:00:00,0
2019/01/07 16:00:00,0
2019/01/07 17:00:00,0
2019/01/07 18:00:00,0
2019/01/07 19:00:00,0
2019/01/07 20:00:00,0
2019/01/07 21:00:00,0
2019/01/07 22:00:00,0
2019/01/07 23:00:00,0
2019/01/08 00:00:00,0
2019/01/08 01:00:00,0
2019/01/08 02:00:00,0
2019/01/08 03:00:00,3.164
2019/01/08 04:00:00,116.432
2019/01/08 05:00:00,329.009
2019/01/08 06:00:00,528.172
2019/01/08 07:00:00,669.32
2019/01/08 08:00:00,746.296
2019/01/08 09:00:00,748.082
2019/01/08 10:00:00,672.875
2019/01/08 11:00:00,541.536
2019/01/08 12:00:00,356.075
2019/01/08 13:00:00,142.903
2019/01/08 14:00:00,7.252
2019/01/08 15:00:00,0
2019/01/08 16:00:00,0
2019/01/08 17:00:00,0
2019/01/08 18:00:00,0
2019/01/08 19:00:00,0
2019/01/08 20:00:00,0
2019/01/08 21:00:00,0
2019/01/08 22:00:00,0
2019/01/08 23:00:00,0
2019/01/09 00:00:00,0
2019/01/09 01:00:00,0
2019/01/09 02:00:00,0
2019/01/09 03:00:00,3.395
2019/01/09 04:00:00,124.353
2019/01/09 05:00:00,330.761
2019/01/09 06:00:00,516.137
2019/01/09 07:00:00,659.353
2019/01/09 08:00:00,736.17
2019/01/09 09:00:00,748.366
2019/01/09 10:00:00,681.495
2019/01/09 11:00:00,547.057
2019/01/09 12:00:00,368.471
2019/01/09 13:00:00,155.537
2019/01/09 14:00:00,8.139
2019/01/09 15:00:00,0
2019/01/09 16:00:00,0
2019/01/09 17:00:00,0
2019/01/09 18:00:00,0
2019/01/09 19:00:00,0
2019/01/09 20:00:00,0
2019/01/09 21:00:00,0
2019/01/09 22:00:00,0
2019/01/09 23:00:00,0
2019/01/10 00:00:00,0
2019/01/10 01:00:00,0
2019/01/10 02:00:00,0
2019/01/10 03:00:00,3.53
2019/01/10 04:00:00,124.755
2019/01/10 05:00:00,323.491
2019/01/10 06:00:00,528.435
2019/01/10 07:00:00,671.602
2019/01/10 08:00:00,745.045
2019/01/10 09:00:00,739.27
2019/01/10 10:00:00,658.709
2019/01/10 11:00:00,515.868
2019/01/10 12:00:00,334.885
2019/01/10 13:00:00,137.065
2019/01/10 14:00:00,6.922
2019/01/10 15:00:00,0
2019/01/10 16:00:00,0
2019/01/10 17:00:00,0
2019/01/10 18:00:00,0
2019/01/10 19:00:00,0
2019/01/10 20:00:00,0
2019/01/10 21:00:00,0
2019/01/10 22:00:00,0
2019/01/10 23:00:00,0
2019/01/11 00:00:00,0
2019/01/11 01:00:00,0
2019/01/11 02:00:00,0
2019/01/11 03:00:00,3.313
2019/01/11 04:00:00,118.725
2019/01/11 05:00:00,327.144
2019/01/11 06:00:00,519.063
2019/01/11 07:00:00,661.34
2019/01/11 08:00:00,738.479
2019/01/11 09:00:00,739.681
2019/01/11 10:00:00,669.701
2019/01/11 11:00:00,535.673
2019/01/11 12:00:00,348.761
2019/01/11 13:00:00,138.472
2019/01/11 14:00:00,7.181
2019/01/11 15:00:00,0
2019/01/11 16:00:00,0
2019/01/11 17:00:00,0
2019/01/11 18:00:00,0
2019/01/11 19:00:00,0
2019/01/11 20:00:00,0
2019/01/11 21:00:00,0
2019/01/11 22:00:00,0
2019/01/11 23:00:00,0
2019/01/12 00:00:00,0
2019/01/12 01:00:00,0
2019/01/12 02:00:00,0
2019/01/12 03:00:00,3.515
2019/01/12 04:00:00,104.426
2019/01/12 05:00:00,321.13
2019/01/12 06:00:00,524.565
2019/01/12 07:00:00,668.425
2019/01/12 08:00:00,746.504
2019/01/12 09:00:00,750.867
2019/01/12 10:00:00,681.145
2019/01/12 11:00:00,544.509
2019/01/12 12:00:00,351.059
2019/01/12 13:00:00,140.962
2019/01/12 14:00:00,7.37
2019/01/12 15:00:00,0
2019/01/12 16:00:00,0
2019/01/12 17:00:00,0
2019/01/12 18:00:00,0
2019/01/12 19:00:00,0
2019/01/12 20:00:00,0
2019/01/12 21:00:00,0
2019/01/12 22:00:00,0
2019/01/12 23:00:00,0
2019/01/13 00:00:00,0
2019/01/13 01:00:00,0
2019/01/13 02:00:00,0
2019/01/13 03:00:00,3.622
2019/01/13 04:00:00,125.308
2019/01/13 05:00:00,336.59
2019/01/13 06:00:00,524.735
2019/01/13 07:00:00,651.765
2019/01/13 08:00:00,708.488
2019/01/13 09:00:00,704.25
2019/01/13 10:00:00,646.41
2019/01/13 11:00:00,523.841
2019/01/13 12:00:00,271.622
2019/01/13 13:00:00,87.319
2019/01/13 14:00:00,7.125
2019/01/13 15:00:00,0
2019/01/13 16:00:00,0
2019/01/13 17:00:00,0
2019/01/13 18:00:00,0
2019/01/13 19:00:00,0
2019/01/13 20:00:00,0
2019/01/13 21:00:00,0
2019/01/13 22:00:00,0
2019/01/13 23:00:00,0
2019/01/14 00:00:00,0
2019/01/14 01:00:00,0
2019/01/14 02:00:00,0
2019/01/14 03:00:00,4.075
2019/01/14 04:00:00,114.621
2019/01/14 05:00:00,326.137
2019/01/14 06:00:00,528.877
2019/01/14 07:00:00,680.442
2019/01/14 08:00:00,758.662
2019/01/14 09:00:00,769.884
2019/01/14 10:00:00,708.025
2019/01/14 11:00:00,575.669
2019/01/14 12:00:00,385.259
2019/01/14 13:00:00,162.683
2019/01/14 14:00:00,9.134
2019/01/14 15:00:00,0
2019/01/14 16:00:00,0
2019/01/14 17:00:00,0
2019/01/14 18:00:00,0
2019/01/14 19:00:00,0
2019/01/14 20:00:00,0
2019/01/14 21:00:00,0
2019/01/14 22:00:00,0
2019/01/14 23:00:00,0
2019/01/15 00:00:00,0
2019/01/15 01:00:00,0
2019/01/15 02:00:00,0
2019/01/15 03:00:00,4.013
2019/01/15 04:00:00,122.757
2019/01/15 05:00:00,335.247
2019/01/15 06:00:00,535.161
2019/01/15 07:00:00,679.748
2019/01/15 08:00:00,755.667
2019/01/15 09:00:00,758.087
2019/01/15 10:00:00,679.375
2019/01/15 11:00:00,537.18
2019/01/15 12:00:00,346.578
2019/01/15 13:00:00,137.04
2019/01/15 14:00:00,8.593
2019/01/15 15:00:00,0
2019/01/15 16:00:00,0
