time,global_h
01/01/2015 0:00,0
01/01/2015 1:00,0
01/01/2015 2:00,0
01/01/2015 3:00,6.819
01/01/2015 4:00,147.442
01/01/2015 5:00,360.035
01/01/2015 6:00,545.816
01/01/2015 7:00,677.646
01/01/2015 8:00,742.966
01/01/2015 9:00,736.234
01/01/2015 10:00,657.708
01/01/2015 11:00,514.214
01/01/2015 12:00,320.37
01/01/2015 13:00,107.064
01/01/2015 14:00,0.767
01/01/2015 15:00,0
01/01/2015 16:00,0
01/01/2015 17:00,0
01/01/2015 18:00,0
01/01/2015 19:00,0
01/01/2015 20:00,0
01/01/2015 21:00,0
01/01/2015 22:00,0
01/01/2015 23:00,0
02/01/2015 0:00,0
02/01/2015 1:00,0
02/01/2015 2:00,0
02/01/2015 3:00,7.845
02/01/2015 4:00,158.402
02/01/2015 5:00,375.41
02/01/2015 6:00,561.75
02/01/2015 7:00,693.006
02/01/2015 8:00,757.224
02/01/2015 9:00,748.558
02/01/2015 10:00,667.744
02/01/2015 11:00,521.91
02/01/2015 12:00,325.768
02/01/2015 13:00,109.629
02/01/2015 14:00,0.818
02/01/2015 15:00,0
02/01/2015 16:00,0
02/01/2015 17:00,0
02/01/2015 18:00,0
02/01/2015 19:00,0
02/01/2015 20:00,0
02/01/2015 21:00,0
02/01/2015 22:00,0
02/01/2015 23:00,0
03/01/2015 0:00,0
03/01/2015 1:00,0
03/01/2015 2:00,0
03/01/2015 3:00,7.707
03/01/2015 4:00,155.238
03/01/2015 5:00,369.972
03/01/2015 6:00,555.19
03/01/2015 7:00,686.12
03/01/2015 8:00,749.734
03/01/2015 9:00,740.738
03/01/2015 10:00,659.988
03/01/2015 11:00,515.022
03/01/2015 12:00,320.359
03/01/2015 13:00,107.036
03/01/2015 14:00,0.829
03/01/2015 15:00,0
03/01/2015 16:00,0
03/01/2015 17:00,0
03/01/2015 18:00,0
03/01/2015 19:00,0
03/01/2015 20:00,0
03/01/2015 21:00,0
03/01/2015 22:00,0
03/01/2015 23:00,0
04/01/2015 0:00,0
04/01/2015 1:00,0
04/01/2015 2:00,0
04/01/2015 3:00,7.821
04/01/2015 4:00,155.051
04/01/2015 5:00,369.315
04/01/2015 6:00,555.354
04/01/2015 7:00,687.936
04/01/2015 8:00,752.514
04/01/2015 9:00,743.008
04/01/2015 10:00,661.276
04/01/2015 11:00,515.582
04/01/2015 12:00,320.328
04/01/2015 13:00,106.485
