time,global_h,diffuse_h
2015/01/01 00:00:00,0,0
2015/01/01 01:00:00,0,0
2015/01/01 02:00:00,0,0
2015/01/01 03:00:00,6,5
2015/01/01 04:00:00,148,52
2015/01/01 05:00:00,360,60
2015/01/01 06:00:00,546,62
2015/01/01 07:00:00,678,64
2015/01/01 08:00:00,743,65
2015/01/01 09:00:00,737,65
2015/01/01 10:00:00,658,63
2015/01/01 11:00:00,515,61
2015/01/01 12:00:00,320,57
2015/01/01 13:00:00,107,43
2015/01/01 14:00:00,1,1
2015/01/01 15:00:00,0,0
2015/01/01 16:00:00,0,0
2015/01/01 17:00:00,0,0
2015/01/01 18:00:00,0,0
2015/01/01 19:00:00,0,0
2015/01/01 20:00:00,0,0
2015/01/01 21:00:00,0,0
2015/01/01 22:00:00,0,0
2015/01/01 23:00:00,0,0
2015/01/02 00:00:00,0,0
2015/01/02 01:00:00,0,0
2015/01/02 02:00:00,0,0
2015/01/02 03:00:00,6,5
2015/01/02 04:00:00,158,43
2015/01/02 05:00:00,375,50
2015/01/02 06:00:00,562,53
2015/01/02 07:00:00,693,56
2015/01/02 08:00:00,757,58
2015/01/02 09:00:00,748,58
2015/01/02 10:00:00,667,57
2015/01/02 11:00:00,522,56
2015/01/02 12:00:00,326,53
2015/01/02 13:00:00,109,41
2015/01/02 14:00:00,1,1
2015/01/02 15:00:00,0,0
2015/01/02 16:00:00,0,0
2015/01/02 17:00:00,0,0
2015/01/02 18:00:00,0,0
2015/01/02 19:00:00,0,0
2015/01/02 20:00:00,0,0
2015/01/02 21:00:00,0,0
2015/01/02 22:00:00,0,0
2015/01/02 23:00:00,0,0
2015/01/03 00:00:00,0,0
2015/01/03 01:00:00,0,0
2015/01/03 02:00:00,0,0
2015/01/03 03:00:00,6,5
2015/01/03 04:00:00,155,47
2015/01/03 05:00:00,370,55
2015/01/03 06:00:00,555,58
2015/01/03 07:00:00,686,61
2015/01/03 08:00:00,750,63
2015/01/03 09:00:00,740,63
2015/01/03 10:00:00,660,63
2015/01/03 11:00:00,515,61
2015/01/03 12:00:00,320,58
2015/01/03 13:00:00,107,44
2015/01/03 14:00:00,1,1
2015/01/03 15:00:00,0,0
2015/01/03 16:00:00,0,0
2015/01/03 17:00:00,0,0
2015/01/03 18:00:00,0,0
2015/01/03 19:00:00,0,0
2015/01/03 20:00:00,0,0
2015/01/03 21:00:00,0,0
2015/01/03 22:00:00,0,0
2015/01/03 23:00:00,0,0
2015/01/04 00:00:00,0,0
2015/01/04 01:00:00,0,0
2015/01/04 02:00:00,0,0
2015/01/04 03:00:00,6,5
2015/01/04 04:00:00,155,48
2015/01/04 05:00:00,369,56
2015/01/04 06:00:00,556,59
2015/01/04 07:00:00,688,61
2015/01/04 08:00:00,752,62
2015/01/04 09:00:00,743,63
2015/01/04 10:00:00,661,63
2015/01/04 11:00:00,516,62
2015/01/04 12:00:00,320,59
2015/01/04 13:00:00,106,45
2015/01/04 14:00:00,1,1
2015/01/04 15:00:00,0,0
