time,global_h,diffuse_h
2015/01/01 00:00:00,0,0
2015/01/01 01:00:00,0,0
2015/01/01 02:00:00,0,0
2015/01/01 03:00:00,0,0
2015/01/01 04:00:00,0,0
2015/01/01 05:00:00,0,0
2015/01/01 06:00:00,0,0
2015/01/01 07:00:00,0,0
2015/01/01 08:00:00,1,1
2015/01/01 09:00:00,19,19
2015/01/01 10:00:00,58,56
2015/01/01 11:00:00,65,63
2015/01/01 12:00:00,69,66
2015/01/01 13:00:00,45,44
2015/01/01 14:00:00,31,30
2015/01/01 15:00:00,6,6
2015/01/01 16:00:00,0,0
2015/01/01 17:00:00,0,0
2015/01/01 18:00:00,0,0
2015/01/01 19:00:00,0,0
2015/01/01 20:00:00,0,0
2015/01/01 21:00:00,0,0
2015/01/01 22:00:00,0,0
2015/01/01 23:00:00,0,0
2015/01/02 00:00:00,0,0
2015/01/02 01:00:00,0,0
2015/01/02 02:00:00,0,0
2015/01/02 03:00:00,0,0
2015/01/02 04:00:00,0,0
2015/01/02 05:00:00,0,0
2015/01/02 06:00:00,0,0
2015/01/02 07:00:00,0,0
2015/01/02 08:00:00,8,7
2015/01/02 09:00:00,68,46
2015/01/02 10:00:00,133,69
2015/01/02 11:00:00,172,77
2015/01/02 12:00:00,178,75
2015/01/02 13:00:00,148,68
2015/01/02 14:00:00,86,52
2015/01/02 15:00:00,16,13
2015/01/02 16:00:00,0,0
2015/01/02 17:00:00,0,0
2015/01/02 18:00:00,0,0
2015/01/02 19:00:00,0,0
2015/01/02 20:00:00,0,0
2015/01/02 21:00:00,0,0
2015/01/02 22:00:00,0,0
2015/01/02 23:00:00,0,0
2015/01/03 00:00:00,0,0
2015/01/03 01:00:00,0,0
2015/01/03 02:00:00,0,0
2015/01/03 03:00:00,0,0
2015/01/03 04:00:00,0,0
2015/01/03 05:00:00,0,0
2015/01/03 06:00:00,0,0
2015/01/03 07:00:00,0,0
2015/01/03 08:00:00,4,4
2015/01/03 09:00:00,37,35
2015/01/03 10:00:00,70,66
2015/01/03 11:00:00,60,58
2015/01/03 12:00:00,33,32
2015/01/03 13:00:00,66,63
2015/01/03 14:00:00,53,49
2015/01/03 15:00:00,17,15
2015/01/03 16:00:00,0,0
2015/01/03 17:00:00,0,0
2015/01/03 18:00:00,0,0
2015/01/03 19:00:00,0,0
2015/01/03 20:00:00,0,0
2015/01/03 21:00:00,0,0
2015/01/03 22:00:00,0,0
2015/01/03 23:00:00,0,0
2015/01/04 00:00:00,0,0
2015/01/04 01:00:00,0,0
2015/01/04 02:00:00,0,0
2015/01/04 03:00:00,0,0
2015/01/04 04:00:00,0,0
2015/01/04 05:00:00,0,0
2015/01/04 06:00:00,0,0
2015/01/04 07:00:00,0,0
2015/01/04 08:00:00,10,8
2015/01/04 09:00:00,75,45
2015/01/04 10:00:00,139,63
2015/01/04 11:00:00,189,63
2015/01/04 12:00:00,199,59
2015/01/04 13:00:00,165,55
2015/01/04 14:00:00,97,46
2015/01/04 15:00:00,20,14
